gate_index,x1_m,y1_m,z1_m,x2_m,y2_m,z2_m
1,5.55111512312578E-16,2.25,0,5.55111512312578E-16,-2.25,0
2,50.1379023572749,17.2033673823472,0,50.1379023572749,7.13558948719782,0
3,91.862758546353,6.28777661181682,0,97.7444603693086,12.1694784347725,0
4,116.809831992861,-9.86232808326995,0,123.128663096088,-3.14984784863439,0
5,136.422827235345,-32.0274745895255,0,152.375824202454,-28.6957272805511,0
6,131.252874514523,-58.4102147286086,0,141.760369182579,-64.1783382102736,0
7,133.670290434918,-85.7409146787266,0,148.257485788658,-88.8204336978497,0
8,123.888584573319,-102.195892338974,0,128.734571170432,-103.811221204679,0
9,131.252874514523,-122.272122527013,0,137.041976765482,-124.348973925776,0
10,113.901483103287,-132.045446759732,0,121.557588099685,-135.075988320807,0
11,128.734571170432,-153.737744249528,0,124.90713403561,-162.829368932752,0
12,163.506663392452,-148.314669877079,0,164.623178704427,-173.03750892795,0
13,195.885607439721,-151.504713625579,0,197.799633688821,-160.117831746527,0
