gate_index,x1_m,y1_m,z1_m,x2_m,y2_m,z2_m
64,78.9061897381593,-227.069061713226,0,83.0085142861508,-220.553605078181,0
65,69.2796772845033,-223.203957526167,0,65.989356838989,-230.672670784619,0
66,60.362432019124,-218.67380618814,0,63.389819577904,-211.801925478297,0
67,47.8687514868813,-215.36064440877,0,47.8687514868813,-220.553605078181,0
68,38.9609867948146,-217.019690262649,0,38.6463898195096,-222.333984815403,0
69,14.5109233729306,-217.60466172294,0,14.5109233729306,-221.719794954584,0
70,-5.95377859454257,-217.019690262649,0,-5.95377859454257,-221.312015254538,0
71,-14.3275347349838,-213.692917825749,0,-14.3275347349838,-218.240822443643,0
72,-21.3598549669616,-217.019690262649,0,-21.3598549669616,-212.035966266782,0
73,-36.3746700465894,-221.312015254538,0,-22.3229612087435,-220.553605078181,0
74,-31.1875323871186,-233.42588100772,0,-19.8254408065176,-230.672670784619,0
75,-22.6645185078082,-245.265287352936,0,-18.2015785537779,-246.701241578004,0
76,-32.7402587564916,-244.265588803233,0,-33.0185392011586,-249.207482111966,0
77,-47.2634584292167,-242.433665323872,0,-48.8161879311166,-244.826981786813,0
78,-55.2958514675184,-240.438608866854,0,-53.8931970128099,-236.43728280848,0
79,-57.225525511819,-229.700404654228,0,-52.762585557789,-230.672670784619,0
80,-56.8684903154966,-225.922905592169,0,-56.3122641648964,-221.312015254538,0
81,-63.6819119786498,-225.922905592169,0,-64.3959823712947,-220.553605078181,0
82,-67.5922443812951,-226.369199587572,0,-72.7345883034768,-226.369199587572,0
83,-74.8317408672392,-239.765639955786,0,-70.2949894799027,-240.196059253743,0
84,-75.3334777222534,-242.943425187584,0,-71.4521855881901,-245.760403849724,0
85,-77.6696613556464,-242.433665323872,0,-78.4706083580133,-247.873172672398,0
86,-83.1222525873728,-223.203957526167,0,-94.6815081538678,-230.237523923011,0
87,-103.98714286136,-214.738295413176,0,-103.98714286136,-210.028453974663,0
88,-126.75116457745,-219.288264005713,0,-118.805192606807,-225.710844914186,0
89,-130.174044810957,-237.493792329299,0,-133.841416489715,-235.713134510397,0
90,-164.967414799323,-248.114711114172,0,-164.967414799323,-253.334082818652,0
91,-190.765880562814,-233.42588100772,0,-186.179318248948,-230.672670784619,0
92,-188.916104457883,-210.55542924051,0,-207.036174378527,-224.111168506917,0
93,-217.596414299195,-210.55542924051,0,-214.622922603315,-206.834743050474,0
94,-240.176391625988,-210.55542924051,0,-246.313201684101,-203.514537859693,0
95,-247.799758157805,-215.72637403664,0,-243.073270908078,-216.43495263818,0
96,-239.285771829116,-225.710844914186,0,-252.467153787319,-224.833559869965,0
97,-246.313201684101,-232.937218118267,0,-241.924561704775,-232.937218118267,0
98,-245.20871506972,-242.943425187584,0,-240.176391625988,-248.114711114172,0
99,-254.201894590393,-242.943425187584,0,-253.645274906535,-249.207482111966,0
100,-265.564958005806,-242.433665323872,0,-266.348617551696,-251.493886796247,0
101,-276.947000636822,-247.37934353876,0,-276.103463678552,-242.197898371099,0
102,-281.309084780888,-241.499103735545,0,-287.338937905554,-241.124854284578,0
