distance_m,x_m,y_m
0.0000,0.0000,-0.0363
0.5000,0.4917,0.0508
1.0000,0.9834,0.1384
1.5000,1.4757,0.2268
2.0000,1.9685,0.3160
2.5000,2.4585,0.4055
3.0000,2.9496,0.4960
3.5000,3.4420,0.5877
4.0000,3.9350,0.6804
4.5000,4.4251,0.7735
5.0000,4.9160,0.8676
5.5000,5.4075,0.9626
6.0000,5.8992,1.0585
6.5000,6.3904,1.1551
7.0000,6.8812,1.2524
7.5000,7.3714,1.3502
8.0000,7.8612,1.4486
8.5000,8.3535,1.5482
9.0000,8.8442,1.6481
9.5000,9.3330,1.7482
10.0000,9.8212,1.8488
10.5000,10.3138,1.9509
11.0000,10.8039,2.0531
11.5000,11.2914,2.1554
12.0000,11.7789,2.2585
12.5000,12.2698,2.3631
13.0000,12.7585,2.4682
13.5000,13.2456,2.5741
14.0000,13.7330,2.6812
14.5000,14.2215,2.7900
15.0000,14.7093,2.9002
15.5000,15.1962,3.0117
16.0000,15.6837,3.1251
16.5000,16.1709,3.2401
17.0000,16.6569,3.3566
17.5000,17.1417,3.4747
18.0000,17.6272,3.5949
18.5000,18.1121,3.7170
19.0000,18.5963,3.8410
19.5000,19.0799,3.9670
20.0000,19.5623,4.0947
20.5000,20.0447,4.2247
21.0000,20.5274,4.3569
21.5000,21.0092,4.4910
22.0000,21.4886,4.6266
22.5000,21.9689,4.7646
23.0000,22.4504,4.9049
23.5000,22.9297,5.0467
24.0000,23.4070,5.1898
24.5000,23.8856,5.3352
25.0000,24.3655,5.4828
25.5000,24.8428,5.6314
26.0000,25.3192,5.7813
26.5000,25.7962,5.9329
27.0000,26.2732,6.0860
27.5000,26.7473,6.2395
28.0000,27.2199,6.3937
28.5000,27.6943,6.5484
29.0000,28.1742,6.7033
29.5000,28.6408,6.8513
30.0000,29.1116,6.9970
30.5000,29.5922,7.1418
31.0000,30.0830,7.2852
31.5000,30.5623,7.4208
32.0000,31.0388,7.5513
32.5000,31.5226,7.6797
33.0000,32.0126,7.8055
33.5000,32.5051,7.9278
34.0000,32.9919,8.0450
34.5000,33.4803,8.1589
35.0000,33.9688,8.2694
35.5000,34.4557,8.3761
36.0000,34.9530,8.4818
36.5000,35.4519,8.5846
37.0000,35.9436,8.6826
37.5000,36.4265,8.7759
38.0000,36.9147,8.8671
38.5000,37.4260,8.9593
39.0000,37.9217,9.0452
39.5000,38.4011,9.1249
40.0000,38.8889,9.2023
40.5000,39.3984,9.2787
41.0000,39.8890,9.3477
41.5000,40.3644,9.4097
42.0000,40.8670,9.4696
42.5000,41.3672,9.5233
43.0000,41.8580,9.5713
43.5000,42.3844,9.6186
44.0000,42.8871,9.6605
44.5000,43.3538,9.6971
45.0000,43.8849,9.7365
45.5000,44.3474,9.7690
46.0000,44.8559,9.8029
46.5000,45.3341,9.8329
47.0000,45.8261,9.8614
47.5000,46.3098,9.8869
48.0000,46.8021,9.9106
48.5000,47.3257,9.9334
49.0000,47.7952,9.9518
49.5000,48.3063,9.9697
50.0000,48.8359,9.9858
50.5000,49.3239,9.9982
51.0000,49.8243,10.0081
51.5000,50.3335,10.0153
52.0000,50.8211,10.0200
52.5000,51.3026,10.0234
53.0000,51.8031,10.0261
53.5000,52.3245,10.0285
54.0000,52.8214,10.0307
54.5000,53.3005,10.0329
55.0000,53.7960,10.0354
55.5000,54.3074,10.0382
56.0000,54.8341,10.0415
56.5000,55.3236,10.0450
57.0000,55.8123,10.0487
57.5000,56.3103,10.0529
58.0000,56.8166,10.0575
58.5000,57.3302,10.0626
59.0000,57.8373,10.0679
59.5000,58.3331,10.0735
