Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded autox_tracks/Michigan-2026-autox_gates.csv: 52 gates

===== Windowed sweep (window=6, step=5) =====

Obj funtion: (2.217698434594682, 0.007203420852711321)   (rho_normalized calls: 777) 


Obj funtion: (2.217698412304449, 0.007203420763090828)   (rho_normalized calls: 777) 


Obj funtion: (2.217698452990721, 0.007203420992665286)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984289884385, 0.007203420929800283)   (rho_normalized calls: 777) 


Obj funtion: (2.217698430112622, 0.007203420866107158)   (rho_normalized calls: 777) 


Obj funtion: (2.217698439364228, 0.007203420848104104)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984363460677, 0.007203420867573019)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984352057105, 0.0072034208484917555)   (rho_normalized calls: 777) 


Obj funtion: (2.217698435067565, 0.007203420841803446)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984358495377, 0.007203420852827523)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984351851092, 0.007203420852368127)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434648614, 0.007203420851358752)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984346159063, 0.007203420851752062)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984365387624, 0.0072034208604391465)   (rho_normalized calls: 777) 


Obj funtion: (2.217698435365224, 0.007203420838887679)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434230077, 0.007203420851372219)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984342175277, 0.007203420855825823)   (rho_normalized calls: 777) 


Obj funtion: (2.217698433985078, 0.007203420852093024)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434593038, 0.0072034208551650485)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984346472364, 0.007203420852198566)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984346495012, 0.007203420846725042)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984344827426, 0.007203420853082739)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434647319, 0.007203420852686213)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434611904, 0.007203420850136373)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434589513, 0.007203420854535328)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434712054, 0.007203420853645921)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984343476094, 0.0072034208627326035)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984346357678, 0.007203420846091949)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434562832, 0.007203420853267283)   (rho_normalized calls: 777) 


Obj funtion: (2.217698434647229, 0.007203420848205046)   (rho_normalized calls: 777) 


Obj funtion: (2.2176984345865343, 0.007203420856043455)   (rho_normalized calls: 777) 


Obj funtion: (1.6059635239284775, 0.00599728764672039)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635141971735, 0.005997287591575446)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635124553895, 0.005997287665375045)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635260607985, 0.005997287536939636)   (rho_normalized calls: 693) 


Obj funtion: (1.605963530572747, 0.005997287644810191)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635308086928, 0.0059972876705050365)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635247570956, 0.005997287716745326)   (rho_normalized calls: 693) 


Obj funtion: (1.605963523913707, 0.00599728764931698)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635253834832, 0.005997287665362416)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635248022954, 0.005997287646795941)   (rho_normalized calls: 693) 


Obj funtion: (1.605963524281242, 0.005997287646043847)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635240544714, 0.005997287646439601)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239569847, 0.0059972876414990895)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635217555475, 0.005997287641828859)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635210535275, 0.005997287596673181)   (rho_normalized calls: 693) 


Obj funtion: (1.605963523539883, 0.005997287643346985)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635235673373, 0.0059972876462144956)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635233480558, 0.005997287650235259)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239674053, 0.005997287650671976)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239174033, 0.005997287647051514)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635238682786, 0.0059972876285824895)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635238508925, 0.0059972876472067236)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239587273, 0.005997287646608385)   (rho_normalized calls: 693) 


Obj funtion: (1.605963523931372, 0.005997287646456844)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239244052, 0.005997287650222891)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635238792076, 0.0059972876461184274)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635238975214, 0.005997287681179243)   (rho_normalized calls: 693) 


Obj funtion: (1.605963523965207, 0.0059972876386827365)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635238983603, 0.005997287646710153)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239851315, 0.00599728764644513)   (rho_normalized calls: 693) 


Obj funtion: (1.6059635239242303, 0.005997287653460929)   (rho_normalized calls: 693) 


Obj funtion: (1.4676527395930175, 0.009806545464684763)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527471424647, 0.009806545518765059)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527306062026, 0.009806545480011645)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527412516565, 0.009806545361688623)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527462368296, 0.009806545494298258)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527464728077, 0.009806545545770914)   (rho_normalized calls: 651) 


Obj funtion: (1.467652740439851, 0.009806545574780813)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527396527161, 0.009806545467487798)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527406681847, 0.009806545485326688)   (rho_normalized calls: 651) 


Obj funtion: (1.467652740393126, 0.009806545464541603)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527399456596, 0.009806545462525414)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527397190469, 0.009806545454550229)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527396212775, 0.009806545459579624)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527379462077, 0.009806545459853738)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527371388215, 0.009806545417066714)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527391999874, 0.009806545461808605)   (rho_normalized calls: 651) 


Obj funtion: (1.467652739231954, 0.009806545461316426)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527390130425, 0.009806545473788232)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527396310148, 0.009806545471194304)   (rho_normalized calls: 651) 


Obj funtion: (1.467652739595326, 0.009806545465038369)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527395523835, 0.009806545446614016)   (rho_normalized calls: 651) 


Obj funtion: (1.467652739522339, 0.00980654546518224)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527396232575, 0.009806545464382446)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527395959034, 0.00980654546068296)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527395889152, 0.009806545468182933)   (rho_normalized calls: 651) 


Obj funtion: (1.467652739550164, 0.009806545464079358)   (rho_normalized calls: 651) 


Obj funtion: (1.467652739539784, 0.009806545498294659)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527396287375, 0.009806545456500334)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527395629035, 0.009806545464308019)   (rho_normalized calls: 651) 


Obj funtion: (1.467652739649663, 0.009806545455774005)   (rho_normalized calls: 651) 


Obj funtion: (1.4676527395886936, 0.009806545471143697)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376077878711, 0.009961794139502982)   (rho_normalized calls: 651) 


Obj funtion: (1.6780375862574586, 0.009961794060487299)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376286338434, 0.009961794157149276)   (rho_normalized calls: 651) 


Obj funtion: (1.678037608272624, 0.009961794239811618)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376144102696, 0.00996179415595383)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376146453255, 0.009961794206862506)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376085379003, 0.009961794249268612)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376083776067, 0.009961794135145578)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376077460157, 0.00996179409941107)   (rho_normalized calls: 651) 


Obj funtion: (1.678037608380895, 0.009961794131590117)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376081370112, 0.00996179413708399)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376079122774, 0.009961794130472868)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376078176114, 0.009961794134528652)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376096150347, 0.009961794146541518)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376083898607, 0.009961794198002444)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376073861767, 0.009961794148742681)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376074289605, 0.009961794137149045)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376072093683, 0.00996179414917828)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376078309978, 0.00996179414575321)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376078392916, 0.00996179413895653)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376078170534, 0.009961794166763432)   (rho_normalized calls: 651) 


Obj funtion: (1.678037607736667, 0.009961794140930322)   (rho_normalized calls: 651) 


Obj funtion: (1.678037607817809, 0.00996179413914252)   (rho_normalized calls: 651) 


Obj funtion: (1.678037607790758, 0.009961794135409499)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376077839223, 0.00996179414283943)   (rho_normalized calls: 651) 


Obj funtion: (1.678037607898885, 0.009961794140382556)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376075626038, 0.009961794091840386)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376078202182, 0.009961794129318205)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376077578882, 0.009961794139231834)   (rho_normalized calls: 651) 


Obj funtion: (1.6780376078442607, 0.009961794130671466)   (rho_normalized calls: 651) 


Obj funtion: (1.67803760778396, 0.009961794145652937)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875410605, 0.009342997351660982)   (rho_normalized calls: 651) 


Obj funtion: (1.370003187604327, 0.00934299739144599)   (rho_normalized calls: 651) 


Obj funtion: (1.370003186361514, 0.009342997363486589)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031886992878, 0.00934299727629771)   (rho_normalized calls: 651) 


Obj funtion: (1.370003194177318, 0.009342997375277143)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031944129951, 0.009342997426543665)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031883536816, 0.009342997461640638)   (rho_normalized calls: 651) 


Obj funtion: (1.370003187600365, 0.00934299735377257)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031880643253, 0.00934299736861714)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031882575807, 0.009342997350547553)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031878924617, 0.009342997349378655)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031876665175, 0.00934299734200902)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875698384, 0.00934299734660325)   (rho_normalized calls: 651) 


Obj funtion: (1.370003186883631, 0.009342997348111655)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031859809967, 0.009342997317974921)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031871438583, 0.009342997350515294)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031871807576, 0.009342997348751702)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031869616098, 0.009342997361049354)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875808745, 0.00934299735807944)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875506626, 0.009342997351924993)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875321277, 0.009342997338222329)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031874782472, 0.0093429973522636)   (rho_normalized calls: 651) 


Obj funtion: (1.370003187571194, 0.00934299735133185)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875439473, 0.0093429973476116)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875370116, 0.009342997355103919)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875294911, 0.009342997351217337)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031874343739, 0.009342997375941587)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875755383, 0.009342997343104278)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875109933, 0.009342997351331988)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875976157, 0.009342997342774956)   (rho_normalized calls: 651) 


Obj funtion: (1.3700031875368819, 0.009342997358012462)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792221313, 0.009149980676293983)   (rho_normalized calls: 651) 


Obj funtion: (1.362295777406699, 0.009149980706808352)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957799890312, 0.00914998068756647)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957802738738, 0.009149980616210677)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957858487654, 0.009149980694888376)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957860839056, 0.009149980745751652)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957799675575, 0.009149980785936755)   (rho_normalized calls: 651) 


Obj funtion: (1.362295779288019, 0.009149980677931895)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957796610147, 0.009149980689654004)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957799189137, 0.009149980674645031)   (rho_normalized calls: 651) 


Obj funtion: (1.362295779572021, 0.009149980673908134)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957793467756, 0.009149980667122911)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792519104, 0.009149980671325029)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957787737489, 0.00914998067357316)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957778703002, 0.009149980650528142)   (rho_normalized calls: 651) 


Obj funtion: (1.362295778824139, 0.009149980676067747)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957788627523, 0.009149980673765273)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957786428505, 0.009149980685833588)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792654569, 0.009149980682523593)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792328982, 0.00914998067649782)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792189756, 0.009149980665925055)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957791612171, 0.009149980676965751)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792521329, 0.00914998067594166)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792250263, 0.009149980672227893)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792181924, 0.00914998067962398)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792192776, 0.009149980675951979)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957791043762, 0.009149980694756728)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792563561, 0.00914998066755878)   (rho_normalized calls: 651) 


Obj funtion: (1.362295779192121, 0.009149980676005079)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792785697, 0.009149980667478248)   (rho_normalized calls: 651) 


Obj funtion: (1.3622957792182395, 0.009149980682432295)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211010615, 0.008789982498696529)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239177616023, 0.00878998248032961)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239234870369, 0.00878998251088278)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239220018378, 0.008789982513280241)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239277001272, 0.00878998250818984)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239279330658, 0.008789982557877931)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239216514212, 0.008789982607316988)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211779622, 0.008789982497684893)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239214811148, 0.008789982489907104)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239217672936, 0.00878998249435514)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239214466837, 0.00878998249614173)   (rho_normalized calls: 651) 


Obj funtion: (1.345423921223326, 0.008789982490551308)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211338652, 0.008789982493992184)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239208147645, 0.008789982500333885)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239199497202, 0.00878998251213354)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239207021248, 0.008789982502862196)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239207443124, 0.008789982496860973)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239205221106, 0.008789982508335598)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211544705, 0.008789982504385015)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211130332, 0.008789982498569741)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211040373, 0.00878998250498404)   (rho_normalized calls: 651) 


Obj funtion: (1.345423921043152, 0.008789982499719398)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211306909, 0.00878998249830129)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211039782, 0.008789982494637666)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239210974652, 0.008789982501700948)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211052672, 0.008789982498902475)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239209761474, 0.008789982487518411)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211349652, 0.008789982489277743)   (rho_normalized calls: 651) 


Obj funtion: (1.345423921071215, 0.008789982498482387)   (rho_normalized calls: 651) 


Obj funtion: (1.3454239211571632, 0.008789982490098125)   (rho_normalized calls: 651) 


Obj funtion: (1.345423921098011, 0.00878998250421589)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701579328, 0.007421542209640274)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157097435628, 0.00742154230690794)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157091288896, 0.007421542239541272)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701935531, 0.007421542319676441)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157080216596, 0.007421542168457956)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157082313687, 0.007421542252913737)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157013252739, 0.007421542332990061)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157017119544, 0.007421542203516228)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157017908381, 0.007421542152703305)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157021217508, 0.007421542200106983)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157019017907, 0.007421542208719813)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016889579, 0.0074215422172611)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701626902, 0.0074215422157007304)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157017885153, 0.007421542218308284)   (rho_normalized calls: 651) 


Obj funtion: (1.28491570113943, 0.007421542276192704)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157011795846, 0.007421542219618202)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701237419, 0.007421542212223308)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157010058774, 0.007421542219031629)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016727253, 0.007421542226378362)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015965247, 0.00742154220887347)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016066273, 0.007421542245400453)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015337038, 0.007421542211382005)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701606944, 0.007421542209395722)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015822306, 0.007421542209475001)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015775534, 0.0074215422096644695)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016056225, 0.007421542210727043)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157014366481, 0.007421542155096002)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016117245, 0.007421542198796156)   (rho_normalized calls: 651) 


Obj funtion: (1.284915701550405, 0.007421542209971589)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157016335517, 0.007421542210056879)   (rho_normalized calls: 651) 


Obj funtion: (1.2849157015799069, 0.007421542208438904)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941150422, 0.007590185295667424)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389474050123, 0.007590185396311195)   (rho_normalized calls: 651) 


Obj funtion: (1.261538946742315, 0.00759018532830167)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389415795717, 0.007590185406756829)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389475768355, 0.007590185253638424)   (rho_normalized calls: 651) 


Obj funtion: (1.2615389477863985, 0.007590185338171886)   (rho_normalized calls: 651) 


Obj funtion: (1.261538940898473, 0.007590185419097044)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941263294, 0.007590185289270985)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941431893, 0.007590185236261423)   (rho_normalized calls: 651) 


Obj funtion: (1.261538941704715, 0.007590185286015825)   (rho_normalized calls: 651) 


